iso_code,continent,location,last_updated_date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality,updated_date
DZA,Africa,Algeria,2021-06-10,132355,321,339.857,3552,8,7.857,3018.286,7.32,7.75,81.001,0.182,0.179,1.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2500000,2500000,NA,NA,22664,5.7,5.7,NA,517,61.57,43851043,17.348,29.1,6.211,3.857,13913.839,0.5,278.364,6.73,0.7,30.4,83.741,1.9,76.88,0.748,NA,2021-06-10
AGO,Africa,Angola,2021-06-10,36325,210,169.286,815,4,4.429,1105.237,6.39,5.151,24.797,0.122,0.135,0.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1222630,774926,447704,NA,33700,3.72,2.36,1.36,1025,33.33,32866268,23.89,16.8,2.405,1.362,5819.495,NA,276.045,3.94,NA,NA,26.664,NA,61.15,0.581,NA,2021-06-10
BEN,Africa,Benin,2021-06-10,8109,0,3.857,102,0,0,668.883,0,0.318,8.414,0,0,0.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26624,21834,4790,NA,761,0.22,0.18,0.04,63,38.89,12123198,99.11,18.8,3.244,1.942,2064.236,49.6,235.848,0.99,0.6,12.3,11.035,0.5,61.77,0.545,NA,2021-06-10
BWA,Africa,Botswana,2021-06-10,59480,1385,466.143,896,11,4.286,25293.148,588.954,198.222,381.013,4.678,1.822,1.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,146725,NA,NA,NA,1992,6.24,NA,NA,847,59.26,2351625,4.044,25.8,3.941,2.242,15807.374,NA,237.372,4.81,5.7,34.4,NA,1.8,69.59,0.735,NA,2021-06-10
BFA,Africa,Burkina Faso,2021-06-10,13456,2,1.429,167,0,0,643.727,0.096,0.068,7.989,0,0,0.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,200,200,NA,NA,NA,0,0,NA,NA,25,20903278,70.151,17.6,2.409,1.358,1703.102,43.7,269.048,2.42,1.6,23.9,11.877,0.4,61.58,0.452,NA,2021-06-10
BDI,Africa,Burundi,2021-06-10,4960,18,16.571,8,0,0.286,417.13,1.514,1.394,0.673,0,0.024,0.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.74,11890781,423.062,17.5,2.562,1.504,702.225,71.7,293.068,6.05,NA,NA,6.144,0.8,61.58,0.433,NA,2021-06-10
CMR,Africa,Cameroon,2021-06-10,79904,0,139.286,1302,0,3.857,3010.036,0,5.247,49.047,0,0.145,0.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86451,70257,16194,NA,1325,0.33,0.26,0.06,50,NA,26545864,50.885,18.8,3.165,1.919,3364.926,23.8,244.661,7.2,NA,NA,2.735,1.3,59.29,0.563,NA,2021-06-10
CPV,Africa,Cape Verde,2021-06-10,31433,94,94.143,271,1,0.714,56535.393,169.068,169.325,487.421,1.799,1.285,0.78,NA,NA,NA,NA,NA,NA,NA,NA,1083,NA,NA,1.948,NA,NA,NA,NA,tests performed,39211,36440,2771,NA,1233,7.05,6.55,0.5,2218,NA,555988,135.58,25.7,4.46,3.437,6222.554,NA,182.219,2.42,2.1,16.5,NA,2.1,72.98,0.665,NA,2021-06-10
CAF,Africa,Central African Republic,2021-06-10,7101,0,1.429,98,0,0,1470.258,0,0.296,20.291,0,0,0.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26541,25551,990,NA,1017,0.55,0.53,0.02,211,11.11,4829764,7.479,18.3,3.655,2.251,661.24,NA,435.727,6.1,NA,NA,16.603,1,53.28,0.397,NA,2021-06-10
TCD,Africa,Chad,2021-06-10,4942,0,1,174,0,0.143,300.867,0,0.061,10.593,0,0.009,0.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16425859,11.833,16.7,2.486,1.446,1768.153,38.4,280.995,6.1,NA,NA,5.818,NA,54.24,0.398,NA,2021-06-10
COM,Africa,Comoros,2021-06-10,3894,4,1.714,146,0,0,4477.947,4.6,1.971,167.894,0,0,0.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84360,43140,41220,NA,57,9.7,4.96,4.74,66,NA,869595,437.352,20.4,2.963,1.726,1413.89,18.1,261.516,11.88,4.4,23.6,15.574,2.2,64.32,0.554,NA,2021-06-10
COG,Africa,Congo,2021-06-10,12026,0,25.857,157,0,0.429,2179.376,0,4.686,28.452,0,0.078,0.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57613,NA,NA,NA,894,1.04,NA,NA,162,50.93,5518092,15.405,19,3.402,2.063,4881.406,37,344.094,7.2,1.7,52.3,47.964,NA,64.57,0.574,NA,2021-06-10
CIV,Africa,Cote d'Ivoire,2021-06-10,47605,58,30.857,306,0,0,1804.705,2.199,1.17,11.6,0,0,0.88,NA,NA,NA,NA,NA,NA,NA,NA,2604,668205,25.332,0.099,1945,0.074,0.016,63,samples tested,662848,662848,NA,18595,13623,2.51,2.51,NA,516,17.59,26378275,76.399,18.7,2.933,1.582,3601.006,28.2,303.74,2.42,NA,NA,19.351,NA,57.78,0.538,NA,2021-06-10
COD,Africa,Democratic Republic of Congo,2021-06-10,34266,310,298.429,825,4,5.143,382.598,3.461,3.332,9.212,0.045,0.057,1.39,NA,NA,NA,NA,NA,NA,NA,NA,2511,NA,NA,0.028,892,0.01,0.308,3.2,samples tested,31871,29262,2609,NA,844,0.04,0.03,0,9,39.81,89561404,35.879,17,3.02,1.745,808.133,77.1,318.949,6.1,NA,NA,4.472,NA,60.68,0.48,NA,2021-06-10
DJI,Africa,Djibouti,2021-06-10,11570,3,3.714,154,0,0,11710.503,3.036,3.759,155.87,0,0,0.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21357,12547,8810,NA,802,2.16,1.27,0.89,812,54.63,988002,41.285,25.4,4.213,2.38,2705.406,22.5,258.037,6.05,1.7,24.5,NA,1.4,67.11,0.524,NA,2021-06-10
EGY,Africa,Egypt,2021-06-10,271047,755,794,15510,39,41.143,2648.64,7.378,7.759,151.562,0.381,0.402,0.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3340216,2820175,520041,NA,64717,3.26,2.76,0.51,632,33.33,102334403,97.999,25.3,5.159,2.891,10550.206,1.3,525.432,17.31,0.2,50.1,89.827,1.6,71.99,0.707,NA,2021-06-10
GNQ,Africa,Equatorial Guinea,2021-06-10,8640,0,9.714,118,0,0,6158.298,0,6.924,84.106,0,0,0.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,144054,102.677,NA,219,0.156,0.044,22.5,tests performed,236189,148579,87610,NA,2980,16.83,10.59,6.24,2124,NA,1402985,45.194,22.4,2.846,1.752,22604.873,NA,202.812,7.78,NA,NA,24.64,2.1,58.74,0.592,NA,2021-06-10
ERI,Africa,Eritrea,2021-06-10,4766,76,88.714,16,2,0.286,1343.888,21.43,25.015,4.512,0.564,0.081,1.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.81,3546427,44.304,19.3,3.607,2.171,1510.459,NA,311.11,6.05,0.2,11.4,NA,0.7,66.32,0.459,NA,2021-06-10
SWZ,Africa,Eswatini,2021-06-10,18705,11,11.714,676,0,0.429,16122.721,9.481,10.097,582.676,0,0.369,1.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.22,1160164,79.492,21.5,3.163,1.845,7738.975,NA,333.436,3.94,1.7,16.5,24.097,2.1,60.19,0.611,NA,2021-06-10
